S.N	Rk	Squad	MP	W	D	L	GF	GA	GD	Pts	xG	xGA	xGD	xGD/90	Last 5	Attendance	Top Team Scorer	Goalkeeper	Country
1	F	Real Madrid	12	8	4	0	26	15	11	28	24	15,4	8,6	0,72	W W W W D	72777	Joselu, Vinicius Júnior... - 5	Andriy Lunin	es
2	F	Dortmund	12	7	3	2	17	9	8	24	15,1	22,4	-7,3	-0,61	W W W L W	81365	Niclas Füllkrug - 3	Gregor Kobel	de
3	SF	Bayern Munich	12	7	3	2	21	13	8	24	19	15	4	0,33	D L L W L	75000	Harry Kane - 8	Manuel Neuer	de
4	SF	Paris S-G	12	5	2	5	19	15	4	17	24,3	13,3	11	0,91	L L L W W	46686	Kylian Mbappé - 8	Gianluigi Donnarumma	fr
5	QF	Manchester City	10	8	2	0	28	13	15	26	24,6	6,9	17,7	1,77	W W W W W	51298	Erling Haaland - 6	Ederson	eng
6	QF	Atlético Madrid	10	6	2	2	23	13	10	20	16,7	12,7	3,9	0,39	W W W W L	64803	Antoine Griezmann - 6	Jan Oblak	es
7	QF	Barcelona	10	6	1	3	20	14	6	19	16,9	11,3	5,6	0,56	W L W W W	45308	Robert Lewandowski, Ferrán Torres... - 3	Marc-André ter Stegen	es
8	QF	Arsenal	10	5	2	3	19	8	11	17	13,4	8,5	4,9	0,49	W W W W W	59870	Leandro Trossard, Gabriel Jesus... - 4	David Raya	eng
9	R16	Porto	8	5	0	3	16	9	7	15	11,4	7,7	3,7	0,46	W D W W W	47944	Galeno - 5	Diogo Costa	pt
10	R16	Inter	8	4	3	1	10	7	3	15	16,2	8,6	7,6	0,94	W W L W D	70279	Alexis Sánchez, Marko Arnautović... - 2	Yann Sommer	it
11	R16	RB Leipzig	8	4	1	3	14	12	2	13	12,2	10,7	1,5	0,19	W W D D D	43949	Loïs Openda - 4	Janis Blaswich	de
12	R16	Lazio	8	4	1	3	8	10	-2	13	10,6	11,7	-1,1	-0,14	W W D W D	47701	Ciro Immobile - 4	Ivan Provedel	it
13	R16	Real Sociedad	8	3	3	2	8	6	2	12	10,3	6,4	3,9	0,49	L W L W W	36790	Brais Méndez - 3	Álex Remiro	es
14	R16	Napoli	8	3	2	3	12	13	-1	11	10,5	11,6	-1,1	-0,13	L D D L D	45367	Victor Osimhen - 2	Alex Meret	it
15	R16	PSV Eindhoven	8	2	4	2	9	13	-4	10	11	11	0	0	W W W D W	34589	Luuk de Jong - 3	Walter Benítez	nl
16	R16	FC Copenhagen	8	2	2	4	10	14	-4	8	9,1	12,8	-3,7	-0,46	W W W L L	35592	Mohamed Elyounoussi, Lukas Lerager - 3	Kamil Grabara	dk
17	GR	Shakhtar	6	3	0	3	10	12	-2	9	7,4	10,9	-3,5	-0,58	W W W W D	47695	Danylo Sikan - 4	Dmytro Riznyk	ua
18	GR	Milan	6	2	2	2	5	8	-3	8	9,6	7,7	1,9	0,32	L D D W L	72212	Samuel Chukwueze - 2	Mike Maignan	it
19	GR	Lens	6	2	2	2	6	11	-5	8	6,1	7,5	-1,4	-0,23	W L W D D	37543	Angelo Fulgini, Elye Wahi - 2	Brice Samba	fr
20	GR	Feyenoord	6	2	0	4	9	10	-1	6	10,6	8	2,6	0,43	W W W W W	44010	Santiago Giménez - 2	Justin Bijlow	nl
21	GR	Newcastle Utd	6	1	2	3	6	7	-1	5	5,9	12,3	-6,4	-1,07	W W D L W	52023	Dan Burn, Fabian Schär... - 1	Nick Pope	eng
22	GR	Galatasaray	6	1	2	3	10	13	-3	5	9,8	10,2	-0,4	-0,07	W W W W L	50140	Mauro Icardi, Hakim Ziyech... - 2	Fernando Muslera	tr
23	GR	Manchester Utd	6	1	1	4	12	15	-3	4	10,5	11,4	-0,9	-0,15	D L L W W	73175	Rasmus Højlund - 5	André Onana	eng
24	GR	Benfica	6	1	1	4	7	11	-4	4	7,8	15,9	-8,1	-1,34	W W L W D	56621	João Mário - 3	Anatolii Trubin	pt
25	GR	RB Salzburg	6	1	1	4	4	8	-4	4	7,4	11,4	-3,9	-0,66	L D L W W	28477	Oscar Gloukh - 2	Alexander Schlager	at
26	GR	Young Boys	6	1	1	4	7	13	-6	4	6,4	15,3	-8,9	-1,48	W W L W W	31500	Meschak Elia - 2	Anthony Racioppi	ch
27	GR	Braga	6	1	1	4	6	12	-6	4	8,3	10	-1,7	-0,28	W L W W L	21366	Bruma, Álvaro djaló - 2	Matheus	pt
28	GR	Celtic	6	1	1	4	5	15	-10	4	4,9	11,7	-6,8	-1,13	W W W W W	56099	Kyogo Furuhashi, Luis Enrique Palma - 2	Joe Hart	sct
29	GR	Antwerp	6	1	0	5	6	17	-11	3	6,2	11,1	-4,9	-0,81	L L L L L	13570	Vincent Janssen, Arbnor Muja... - 1	Jean Butez	be
30	GR	Union Berlin	6	0	2	4	6	10	-4	2	5,6	11,5	-5,9	-0,98	L D L L W	72976	Sheraldo Becker - 2	Frederik Rønnow	de
31	GR	Sevilla	6	0	2	4	7	12	-5	2	5,9	10,8	-4,9	-0,81	D W L L L	34181	Sergio Ramos, Nemanja Gudelj... - 2	Marko Dmitrović	es
32	GR	Red Star	6	0	1	5	7	15	-8	1	8,7	14,8	-6,1	-1,02	D W W W W	46202	Osman Bukari - 2	Omri Glazer	rs
